#{"t_start": 1783679459.1440916, "env_id": "None"}
r,l,t
-85.249389,22,13.947883
-77.923651,32,13.986042
-81.054298,28,14.015807
-84.337202,23,14.040714
-81.523608,27,14.076895
-87.913889,20,14.100696
-86.151871,20,14.127076
-96.194919,8,14.135196
-86.203163,23,14.164649
-81.472675,26,14.186895
-77.525087,34,14.225671
-78.509871,32,14.263085
-71.500865,44,14.314155
-68.779556,40,14.360026
-65.702818,44,14.405434
-76.287954,32,14.440943
-87.309548,21,14.466098
-70.637649,39,14.51344
-79.775322,28,14.548039
-81.95942,26,14.584251
-85.947195,20,14.612802
-85.147292,23,14.643587
-87.933978,19,14.667878
-72.282478,39,14.711237
-85.356484,24,14.743994
-65.343633,46,14.793098
-90.320931,17,14.813459
-64.265329,47,14.874645
-82.2255,26,14.911609
-78.425091,30,14.939986
-80.385579,29,14.97571
-79.422025,28,15.019802
-89.862896,20,15.048266
-92.48997,14,15.066846
-88.652937,18,15.086649
-93.849358,12,15.103906
-70.740832,41,15.158743
-74.744283,34,15.190341
-90.830466,16,15.211211
-90.970025,16,15.228027
-96.631296,7,15.23825
-71.959878,38,15.281602
-70.534923,39,15.322253
-78.327563,29,15.355336
-92.639567,14,15.378226
-77.194128,35,15.427575
-84.159308,25,15.454853
-82.388703,26,15.477229
-82.869089,25,15.511077
-76.674705,31,15.541371
-84.367259,23,15.568704
-92.170449,15,15.587004
-95.210218,9,15.601219
-89.979539,17,15.622659
-72.942158,36,15.65889
-82.722054,26,15.683649
-93.890135,11,15.699677
-86.548672,22,15.723462
-82.366917,25,15.755159
-85.742033,25,15.780478
-69.181311,43,15.829501
-85.870557,23,15.854467
-72.309607,39,15.902005
-85.361038,22,15.927859
-84.609709,23,15.954527
-71.487379,37,15.993952
-77.963239,30,16.021645
-79.314374,28,16.050335
-75.854914,33,16.083839
-70.33244,42,16.130125
-91.60012,16,16.145038
-80.391413,27,16.175282
-76.514036,35,16.211237
-87.611331,20,16.228552
-83.645051,24,16.257706
-91.199347,15,16.278187
-74.347671,36,16.315108
-77.623083,31,16.348773
-68.679736,40,16.389064
-75.60759,33,16.43455
-83.126986,25,16.473352
-68.356578,43,16.537907
-86.856908,22,16.569088
-73.177554,38,16.626036
-88.685481,20,16.658997
-84.781967,24,16.691193
-92.237698,13,16.708636
-92.499533,13,16.723815
-74.585566,35,16.776059
-81.184202,27,16.80584
-91.816075,13,16.816318
-69.583715,49,16.863094
-72.818595,36,16.902335
-83.391694,28,16.937301
-68.921468,45,16.990334
-74.896334,36,17.032688
-88.07557,20,17.062968
-81.249096,31,17.097541
-95.716534,8,17.105475
-55.599756,58,17.168793
-92.895875,13,17.187607
-50.923537,63,17.269296
-85.906279,22,17.301564
-78.656103,31,17.333691
-69.559792,41,17.387477
-95.803558,8,17.39421
-88.59761,18,17.416257
-82.337039,26,17.447051
-84.470879,23,17.475631
-83.319261,25,17.501454
-92.288172,13,17.516706
-73.748804,35,17.563111
-78.76087,31,17.610128
-85.613782,21,17.636215
-87.20574,20,17.657695
-74.053904,36,17.69618
-87.799771,19,17.728356
-83.327941,27,17.764371
-63.521447,47,17.823392
-87.742618,22,17.846633
-84.504323,24,17.876655
-91.058431,14,17.890514
-93.412667,13,17.90486
-87.538629,20,17.932136
-88.719653,20,17.959793
-86.723636,22,17.982301
-79.482679,29,18.016234
-73.041346,35,18.055886
-65.427359,45,18.112304
-77.530243,31,18.148336
-89.248229,17,18.165513
-71.514603,38,18.206879
-80.79778,27,18.239425
-86.706406,19,18.263865
-84.426178,25,18.29187
-88.219043,19,18.313523
-90.193095,18,18.33886
-69.459483,42,18.388139
-82.772925,27,18.414275
-70.920635,39,18.465424
-86.262611,21,18.489492
-63.33709,47,18.530519
-81.620647,29,18.557583
-49.757317,70,18.64059
-63.547251,48,18.700012
-71.360324,37,18.744376
-89.048285,18,18.76897
-83.639322,26,18.798789
-79.126479,29,18.828999
-70.682969,38,18.863541
-70.393524,39,18.903382
-80.901042,27,18.928936
-68.119628,44,18.970889
-79.014766,29,19.00193
-77.679381,30,19.035764
-76.8304,34,19.077033
-85.140667,24,19.109341
-50.55093,66,19.180868
-86.22847,20,19.197758
-91.94929,15,19.214808
-82.878623,26,19.253191
-89.723119,17,19.273034
-82.564621,26,19.296174
-76.873661,32,19.331153
-88.948285,18,19.359627
-69.151749,40,19.397518
-85.938893,23,19.422738
-68.324648,41,19.46687
-90.847439,16,19.487762
-71.209781,38,19.52261
-78.357723,29,19.551114
-61.928857,50,19.604544
-87.543577,21,19.625658
-77.553519,31,19.655351
-88.030334,20,19.678048
-97.29457,6,19.684788
-78.018295,31,19.725474
-95.320852,9,19.734755
-46.472991,70,19.815265
-79.782321,28,19.847329
-63.696152,46,19.907371
-86.919928,21,19.934556
-83.444512,24,19.964404
-89.935872,18,19.984277
-74.347421,34,20.03319
-83.381571,24,20.058493
-88.103116,19,20.07617
-86.893214,23,20.098706
-71.73818,37,20.153083
-72.096756,36,20.196547
-85.407356,22,20.223457
-94.021079,11,20.234845
-88.385811,18,20.257902
-84.903834,25,20.292671
-74.304117,34,20.339226
-86.807634,22,20.364128
-85.818396,22,20.396857
-81.112044,27,20.443347
-76.324549,34,20.48587
-57.963858,53,20.555895
-88.312386,21,20.583419
-76.056417,34,20.616177
-81.634301,26,20.651192
-74.932909,36,20.699552
-82.479189,26,20.736236
-86.63749,20,20.766337
-77.502039,33,20.80345
-78.554825,30,20.837611
-80.636255,27,20.875648
-86.428133,20,20.900889
-79.519694,29,20.929048
-86.34094,23,20.954612
-50.436817,64,21.030118
-60.394435,50,21.089886
-82.772829,25,21.124424
-59.955341,53,21.213866
-77.051603,31,21.266736
-84.52206,24,21.302577
-62.744049,49,21.384848
-73.874601,35,21.438864
-91.820254,15,21.465195
-56.579974,56,21.552083
-78.295899,30,21.594333
-73.210306,39,21.655096
-90.935922,18,21.695375
-62.572774,48,21.776848
-85.169406,24,21.811715
-79.26621,31,21.860669
-85.311838,23,21.89577
-81.676365,27,21.934146
-81.241689,28,21.973718
-17.717356,93,22.099876
-74.478088,37,22.155481
-70.551429,39,22.208549
-78.68874,32,22.242767
-82.044556,26,22.275784
-65.587461,46,22.325627
-82.26802,25,22.350941
-89.100317,19,22.371457
-57.862493,57,22.443562
-73.670743,35,22.487908
-68.70578,41,22.533562
-91.581404,14,22.547727
-74.385603,36,22.583937
-84.479272,26,22.61657
-79.731129,30,22.652646
-81.116177,27,22.685251
-58.480568,52,22.74851
-78.493967,30,22.785429
-78.334615,30,22.823888
-65.310443,49,22.879767
-53.095479,60,22.94981
-58.23188,55,23.012124
-83.937335,26,23.043665
-70.347213,41,23.087648
-31.108625,98,23.214605
-66.751869,43,23.275399
-93.67828,12,23.290987
-89.393977,18,23.31115
-62.669874,50,23.373825
-91.099347,15,23.394846
-93.284432,12,23.410231
-67.203906,42,23.45777
-91.800174,15,23.476551
-63.118577,48,23.539638
-87.085051,20,23.564362
-66.303219,47,23.622974
-85.426135,23,23.648473
-92.799202,14,23.669688
-76.20803,32,23.708734
-64.59405,47,23.784383
-96.587202,8,23.800247
-76.585102,34,23.846391
-84.778618,24,23.871166
-59.085819,52,23.930207
-65.504983,52,23.995052
-53.937454,59,24.067997
-68.208353,50,24.124647
-90.833549,16,24.14625
-84.123221,24,24.175272
-87.349062,20,24.200271
-72.464302,37,24.243949
-77.59903,31,24.282015
-86.695658,21,24.315468
-36.359818,81,24.433972
-75.800434,33,24.479999
-75.365275,33,24.522045
-77.500767,32,24.564403
-80.914263,28,24.608493
-72.306745,42,24.665066
-80.326298,29,24.703625
-90.187255,17,24.723168
-39.284988,85,24.837145
-75.723029,35,24.87666
-70.996099,40,24.927916
-53.714122,58,24.989844
-83.365008,21,25.018198
-67.937812,41,25.071794
-53.865032,60,25.153759
-83.364168,24,25.185443
-90.527838,15,25.208009
-37.089455,90,25.320751
-64.21549,48,25.383471
-83.457984,24,25.409222
-58.185217,54,25.478674
-68.078103,43,25.525783
-89.185098,20,25.552883
-66.977984,45,25.59824
23.310479,158,25.772621
-62.765041,53,25.833989
-86.393521,22,25.862324
-81.653407,28,25.896821
-92.588836,13,25.916082
-77.107027,33,25.948222
-79.255217,31,25.978443
-89.100551,17,25.996897
-65.041308,45,26.045678
-65.058756,51,26.105359
-84.649941,24,26.129207
-83.389326,25,26.154592
-84.332306,24,26.185895
-72.133017,37,26.22332
-22.409383,95,26.318749
-73.312883,37,26.355581
-72.13757,36,26.397649
-77.910818,29,26.430871
-94.925669,9,26.442626
-16.038315,98,26.543825
-92.857332,14,26.560609
-68.495039,44,26.615509
-77.76337,30,26.643161
-61.062808,59,26.696231
-70.460805,42,26.74062
-77.83144,30,26.77151
-90.072181,17,26.790383
-11.858258,104,26.899
-51.099788,62,27.012754
-94.063812,13,27.02991
-67.451176,45,27.096776
17.353084,138,27.436178
-44.573996,83,27.584247
-86.584804,20,27.618187
-66.644846,43,27.696723
-77.7581,31,27.751837
-85.68235,23,27.791285
-79.046535,30,27.837925
-72.790217,37,27.887246
-68.201987,41,27.939527
-81.88631,31,27.986136
-91.539045,14,28.005737
-71.795022,39,28.063525
-80.266125,28,28.102748
-70.494138,42,28.160003
-18.963099,97,28.298794
-90.208578,18,28.322496
-81.603596,26,28.359962
-43.735351,75,28.4688
-93.215725,13,28.491627
-73.891023,36,28.538506
-80.903054,26,28.574578
-87.870384,21,28.609239
-80.455346,30,28.653224
-62.840496,51,28.729241
-94.634359,10,28.741079
-77.025153,33,28.781969
-14.254848,107,28.929284
-52.393949,66,29.014398
-73.121625,35,29.067837
-92.051844,15,29.095239
-74.150781,37,29.149447
-79.74629,29,29.19409
-84.027962,22,29.225005
-66.511252,44,29.296135
-77.661956,34,29.345133
-71.048766,38,29.396355
-82.616494,25,29.426718
-64.325331,47,29.496765
-64.80618,46,29.561859
-75.244844,35,29.61231
-73.323154,37,29.664484
-29.688927,97,29.806818
-42.534043,72,29.901216
-89.762869,17,29.927612
-80.307121,27,29.967549
-57.077414,56,30.045969
-70.591946,43,30.099553
-84.257446,25,30.132563
-61.961343,50,30.203919
-72.339685,37,30.257721
-61.371365,51,30.323608
-68.59542,45,30.391695
-70.985271,38,30.451171
-72.757879,39,30.510175
-83.151359,26,30.548145
-87.532211,22,30.585125
-57.4549,55,30.685121
26.202508,152,30.941655
-81.104193,26,30.977066
-23.628036,95,31.10955
24.99543,154,31.320689
-76.557174,31,31.365161
-17.338472,97,31.498567
-33.107206,88,31.624367
-57.431527,55,31.702126
45.486048,182,31.970066
-16.361852,99,32.098579
-50.491468,61,32.194807
-70.376114,42,32.257977
-64.501148,54,32.346771
-61.900968,50,32.417716
-72.488136,38,32.47048
-87.781922,19,32.492933
2.515791,119,32.656544
-56.863667,55,32.736998
-18.168509,106,32.88662
-26.129022,99,33.021827
-94.764924,10,33.039222
-72.007775,42,33.097795
-81.725639,29,33.134835
-71.528127,39,33.192771
-14.695358,100,33.344681
-74.82248,34,33.397699
-79.648866,30,33.436915
-69.186143,40,33.488249
-67.899898,43,33.560823
-72.527347,36,33.613734
-88.017371,21,33.649555
-66.102122,44,33.716642
-76.053083,33,33.773801
-65.205616,45,33.84126
-68.190041,43,33.904351
-74.200044,35,33.95606
-72.295285,38,34.004266
-18.634886,100,34.114582
67.204657,210,34.357004
-68.011866,43,34.414171
-68.928663,43,34.465796
-65.741267,45,34.518914
-74.669302,35,34.556793
-91.046222,15,34.573914
-63.806719,46,34.632366
-85.459281,22,34.660631
-42.171857,78,34.750717
65.465369,212,35.013648
34.287415,164,35.24027
123.954711,258,35.625633
-67.024468,43,35.680295
-60.4129,58,35.749472
38.484069,161,35.982309
-80.26632,31,36.021287
